Committee_Id,Committee_Name,Link_Image,Sponsor_Name,Cash_on_Hand,Coverage_End_Date,Total_Disbursement,Total_Receipt
"C00523381","HEARTDOCPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00523381","BUCSHON, LARRY D","21616.9","30-JUN-18","12179","32500"
"C00683250","GENERATION GO","http://docquery.fec.gov/cgi-bin/fecimg/?C00683250","GOMEZ, JIMMY","","","",""
"C00489427","BUILDING LEADERSHIP AND INSPIRING NEW ENTERPRISE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00489427","LUETKEMEYER, W BLAINE","123275.58","30-JUN-18","473899.3","579115"
"C00683052","STRONG ECONOMY AND NATIONAL SECURITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00683052","FLYNN, SEAN","","","",""
"C00497305","YOPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00497305","YODER, REP. KEVIN W.","148834.53","30-JUN-18","352681.7","340731.9"
"C00509174","EVERYBODY COUNTS EVERYBODY MATTERS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00509174","ELLISON, KEITH","54647.48","30-JUN-18","57357.6","94000"
"C00682864","LIBERTY RISING PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00682864","FREITAS, NICHOLAS","","","",""
"C00416131","MIDWEST VALUES PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00416131","FRANKEN, AL","1111526.72","30-JUN-18","1568223.5","2071870.6"
"C00525717","JUSTINPAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00525717","AMASH, JUSTIN","2437.82","30-JUN-18","6679","0"
"C00608463","SALT CITY PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00608463","","40841.16","30-JUN-18","26500","60296.9"
"C00483628","ALL POWER TO THE PEOPLE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00483628","","872.08","30-JUN-18","27560","10000"
"C00392738","HOOPS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00392738","WYDEN, RON","63503.14","30-JUN-18","606823.2","583274.7"
"C00524314","AMERICA'S FIRST PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00524314","WITTMAN, ROBERT","32449.95","30-JUN-18","63254.1","90200"
"C00417584","AMERICA 2.0 PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00417584","","12967.27","30-JUN-18","166786.7","175500"
"C00629832","BUILDING OPPORTUNITIES FOR A STRONGER TOMORROW B.O.S.T. PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00629832","","2521.54","30-JUN-18","17228.5","19750"
"C00681643","DELIVER. EXCEL. BELIEVE. PAC DEB PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00681643","LESKO, DEBBIE","0","30-JUN-18","0","0"
"C00493072","DAKOTA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00493072","HOEVEN, JOHN","200957.41","30-JUN-18","182740","310764.4"
"C00439992","KEYSTONE AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00439992","CASEY, ROBERT","67642.27","30-JUN-18","436555.6","482285.8"
"C00650796","LITTLE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00650796","","27600.73","30-JUN-18","5739.3","33340"
"C00547448","MAKING AMERICANS COUNT PAC (MAC PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00547448","","21809.02","30-JUN-18","36191","30000"
"C00406553","PROGRESSIVE VOTERS OF AMERICA","http://docquery.fec.gov/cgi-bin/fecimg/?C00406553","","204380.67","30-JUN-18","141713.1","321430.9"
"C00634196","PANHANDLE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00634196","","0","30-JUN-18","0","0"
"C00528414","HEALTHCARE FREEDOM FUND","http://docquery.fec.gov/cgi-bin/fecimg/?C00528414","ROE, DAVID PHILLIP DR.","61937.23","30-JUN-18","494311.1","477876.2"
"C00640664","GREAT AMERICA COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?C00640664","","655704.24","30-JUN-18","2201348","2857052.3"
"C00680819","BUCKEYE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00680819","GONZALEZ, ANTHONY","0","30-JUN-18","0","0"
"C00409110","GREEN MOUNTAIN PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00409110","","13048.87","30-JUN-18","631270.3","620972.8"
"C00678813","CONSERVATIVES HARVESTING SUCCESS PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00678813","","0","30-JUN-18","0","0"
"C00634519","ON AZIMUTH PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00634519","DAVIDSON, WARREN","0","30-JUN-18","105","105"
"C00680405","DEFEND & UPHOLD OUR NATION NOW","http://docquery.fec.gov/cgi-bin/fecimg/?C00680405","KEY, CLINTON","0","30-JUN-18","0","0"
"C00540146","FIRST IN FREEDOM PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00540146","","42967.84","30-JUN-18","214856.2","244754.6"
"C00680322","MUSTANG PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00680322","PENCE, GREGORY","250","30-JUN-18","0","250"
"C00680132","JOINING IDEAS TO MOTIVATE MOVEMENT FOR YOU (JIMMY PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00680132","PANETTA, JIMMY","0","30-JUN-18","0","0"
"C00678912","HEALTH PSYCHOLOGY LEADERSHIP POLITICAL ACTION COMMITTEE (PSY PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00678912","","","","",""
"C00587832","PINE TREE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00587832","POLIQUIN, BRUCE L","9682.81","30-JUN-18","39585.3","44093.8"
"C00458570","A NEW DIRECTION PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00458570","SHAHEEN, JEANNE","18503.92","30-JUN-18","253564.9","245413"
"C00561779","AMERICAN INNOVATION POLITICAL ACTION COMMITTEE (AMI PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00561779","BERA, AMERISH","51467.44","30-JUN-18","36649.3","76000"
"C00634436","GOLDEN RULE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00634436","CRIST, CHARLIE","50183.7","30-JUN-18","31816.3","82000"
"C00633156","I GOT YOUR BACK PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00633156","ROCHESTER, LISA","2947.26","30-JUN-18","2052.7","5000"
"C00632992","DEVELOPING A NEW GENERATION PAC (DANG PAC)","http://docquery.fec.gov/cgi-bin/fecimg/?C00632992","","31253","30-JUN-18","6247","37500"
"C00325993","DEFEND AMERICA PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00325993","SHELBY, RICHARD","5389759.7","30-JUN-18","491955.9","1337308.3"
"C00491183","BEEHIVE PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00491183","","301739.6","30-JUN-18","65383.8","301500.7"
"C00428052","MAJORITY COMMITTEE PAC--MC PAC","http://docquery.fec.gov/cgi-bin/fecimg/?C00428052","","1551887.23","30-JUN-18","3202059.8","3547130.7"
